,id,age,gender,height,weight,Systolic_BP,Diastolic_BP,cholesterol,Glucose,smoke,Alcohol,Physical_Activity,Heart_Disease,Height_m,BMI,Pulse_Pressure,MAP
id,1.0,0.0031547658633157873,0.002716180188021787,-0.002930558200534875,-0.0009445436664141481,0.0005049944047091666,-0.0006534710252249068,0.005773740071722369,0.0013687777748505779,-0.0037367602120688364,0.00023817512054641376,0.0037459043858308937,0.0038084422947522872,-0.002930558200483536,0.00030077018013401036,0.0012296509311030424,-0.00012035640188350443
age,0.0031547658633157873,1.0,-0.02253476065602977,-0.08557514833888082,0.05715554427652702,0.21105339637170034,0.15636403990168693,0.15472426182012525,0.09861977221132782,-0.0471674258759246,-0.028166456537536806,-0.01018331016697514,0.23998534600421123,-0.08557514833888069,0.10841539718972479,0.1713976499253137,0.19632538511323216
gender,0.002716180188021787,-0.02253476065602977,1.0,0.5210615831584334,0.17679779884769625,0.06358370987347857,0.06920886745962009,-0.0349415373595854,-0.01993148444515361,0.3389642527220671,0.17120680205750116,0.005503978745716772,0.008328409742412887,0.5210615831584242,-0.10519736573244697,0.03401035209265501,0.07182648006119756
height,-0.002930558200534875,-0.08557514833888082,0.5210615831584334,1.0,0.3420670606119221,0.01967649936004725,0.03815453699285994,-0.053825457524953144,-0.019668662753691984,0.1956926359055963,0.09923277834144192,-0.009930976669299667,-0.010639125379916908,1.0,-0.18971334759129255,-0.002823602185454288,0.03182648834052478
weight,-0.0009445436664141481,0.05715554427652702,0.17679779884769625,0.3420670606119221,1.0,0.2648549327707352,0.25005189844968745,0.13837432279874037,0.10029411182714973,0.07311674663154398,0.07136947429075201,-0.01872215543406337,0.17992733567511854,0.34206706061192627,0.8532317007800179,0.1721613238410861,0.27726929622930163
Systolic_BP,0.0005049944047091666,0.21105339637170034,0.06358370987347857,0.01967649936004725,0.2648549327707352,1.0,0.7169394302145891,0.1939246590817531,0.09074463761485616,0.02790238040111896,0.03474211888685529,-0.0013017910161693422,0.429329263552323,0.01967649936004795,0.26578274599839885,0.8311942604166469,0.9164580058108895
Diastolic_BP,-0.0006534710252249068,0.15636403990168693,0.06920886745962009,0.03815453699285994,0.25005189844968745,0.7169394302145891,1.0,0.15985505222657542,0.07216139389662052,0.02544704850353965,0.039491009882887146,-0.0005655051238271519,0.3403865517989198,0.03815453699285988,0.240390065059139,0.20832109718679961,0.935990255866034
cholesterol,0.005773740071722369,0.15472426182012525,-0.0349415373595854,-0.053825457524953144,0.13837432279874037,0.1939246590817531,0.15985505222657542,1.0,0.4495576851917631,0.010424898321460083,0.035898355486551375,0.009283889457672511,0.22117907887302046,-0.053825457524954434,0.1729772637175877,0.14458237146942104,0.18969216879229178
Glucose,0.0013687777748505779,0.09861977221132782,-0.01993148444515361,-0.019668662753691984,0.10029411182714973,0.09074463761485616,0.07216139389662052,0.4495576851917631,1.0,-0.00577950686512809,0.009983185681686647,-0.007130270171356619,0.08902864273973993,-0.01966866275369178,0.11451572372916388,0.069761622456422,0.0872491369120162
smoke,-0.0037367602120688364,-0.0471674258759246,0.3389642527220671,0.1956926359055963,0.07311674663154398,0.02790238040111896,0.02544704850353965,0.010424898321460083,-0.00577950686512809,1.0,0.3410014696370277,0.025182837079993234,-0.015988002393327018,0.19569263590559427,-0.03232411120513227,0.01885159043685301,0.028698685510544678
Alcohol,0.00023817512054641376,-0.028166456537536806,0.17120680205750116,0.09923277834144192,0.07136947429075201,0.03474211888685529,0.039491009882887146,0.035898355486551375,0.009983185681686647,0.3410014696370277,1.0,0.02494376402383165,-0.008198522342096181,0.09923277834144223,0.01888438851397747,0.017247148681171946,0.040214266671238154
Physical_Activity,0.0037459043858308937,-0.01018331016697514,0.005503978745716772,-0.009930976669299667,-0.01872215543406337,-0.0013017910161693422,-0.0005655051238271519,0.009283889457672511,-0.007130270171356619,0.025182837079993234,0.02494376402383165,1.0,-0.037690419649623136,-0.009930976669299494,-0.01466740878920136,-0.0013753706130250534,-0.0009828689486123584
Heart_Disease,0.0038084422947522872,0.23998534600421123,0.008328409742412887,-0.010639125379916908,0.17992733567511854,0.429329263552323,0.3403865517989198,0.22117907887302046,0.08902864273973993,-0.015988002393327018,-0.008198522342096181,-0.037690419649623136,1.0,-0.010639125379916532,0.19346353826868054,0.3308699243642019,0.41218040802243605
Height_m,-0.002930558200483536,-0.08557514833888069,0.5210615831584242,1.0,0.34206706061192627,0.01967649936004795,0.03815453699285988,-0.053825457524954434,-0.01966866275369178,0.19569263590559427,0.09923277834144223,-0.009930976669299494,-0.010639125379916532,1.0,-0.18971334759128786,-0.0028236021854531183,0.03182648834052525
BMI,0.00030077018013401036,0.10841539718972479,-0.10519736573244697,-0.18971334759129255,0.8532317007800179,0.26578274599839885,0.240390065059139,0.1729772637175877,0.11451572372916388,-0.03232411120513227,0.01888438851397747,-0.01466740878920136,0.19346353826868054,-0.18971334759128786,1.0,0.18116856026041286,0.2721970167996378
Pulse_Pressure,0.0012296509311030424,0.1713976499253137,0.03401035209265501,-0.002823602185454288,0.1721613238410861,0.8311942604166469,0.20832109718679961,0.14458237146942104,0.069761622456422,0.01885159043685301,0.017247148681171946,-0.0013753706130250534,0.3308699243642019,-0.0028236021854531183,0.18116856026041286,1.0,0.5392890658013644
MAP,-0.00012035640188350443,0.19632538511323216,0.07182648006119756,0.03182648834052478,0.27726929622930163,0.9164580058108895,0.935990255866034,0.18969216879229178,0.0872491369120162,0.028698685510544678,0.040214266671238154,-0.0009828689486123584,0.41218040802243605,0.03182648834052525,0.2721970167996378,0.5392890658013644,1.0
